clause_type,contract_type,standard_template,key_elements,common_issues,review_points
标的条款,买卖合同,"标的物：[名称]，规格型号：[型号]，数量：[数量]，质量标准：[国标/行标/企标]","名称、规格、型号、数量、质量标准","描述过于笼统、未明确规格型号、数量无计量单位","是否明确、唯一、可履行"
标的条款,租赁合同,"租赁物：[名称/地址]，面积：[面积]，配套设施：[设施]","名称、地址、面积、配套设施","地址不明确、面积不准确、未说明配套设施","租赁物是否可识别"
标的条款,借款合同,"借款金额：[大写]（小写），借款用途：[用途]","金额、用途","砍头息、用途约定不明、金额大小写不一致","是否实际交付、用途是否合法"
标的条款,股权转让合同,"转让标的：[公司名称][%]股权，对应注册资本：[金额]","公司名称、股权比例、注册资本","股权描述不清、未说明对应注册资本","股权是否可识别"
数量条款,买卖合同,"数量：[数字][计量单位]，允许误差：±[百分比]","数量、计量单位、误差范围","数量不明确、无计量单位、未约定误差范围","是否可计量、误差是否合理"
质量条款,买卖合同,"质量标准：执行[国标/行标/企标]，标准编号：[编号]","质量标准、标准编号","质量标准不明确、未约定验收方法","是否可检验、是否可量化"
价款条款,买卖合同,"总价款：[大写]（小写），含税（税率%），支付方式：[一次性/分期]，支付时间：[具体日期/条件]","金额、含税、税率、支付方式、支付时间","金额大小写不一致、未注明是否含税、付款条件不明","金额是否明确、付款是否可行"
价款条款,租赁合同,"租金：[金额]/月，支付方式：[押X付Y]，支付时间：[每X月X日前]","金额、支付方式、支付时间","租金不明确、支付时间不具体","租金是否合理、支付是否可行"
履行条款,买卖合同,"交付时间：[日期/条件]，交付地点：[地点]，运输方式：[方式]，运费承担：[方]","交付时间、交付地点、运输方式、运费承担","交付时间不明确、交付地点不明、运费承担不清","时间是否合理、地点是否明确"
履行条款,建设工程合同,"开工日期：[日期]，竣工日期：[日期]，工期：[天数]天","开工日期、竣工日期、工期","工期不明确、无顺延机制","工期是否合理、是否有灵活性"
验收条款,买卖合同,"验收标准：[标准]，验收期限：[天数]日，验收方式：[方式]，不合格处理：[退换货/减价/修理]","验收标准、验收期限、验收方式、不合格处理","验收标准不明、期限不明、未约定不合格处理","验收是否可操作、后果是否明确"
违约责任,通用,"违约方应向守约方支付违约金[金额/计算方式]，如造成损失超过违约金的，还应赔偿差额","违约情形、违约金、损失赔偿","违约情形不完整、违约金过高或过低、未约定损失赔偿","违约金是否合理、是否覆盖主要违约情形"
解除条款,通用,"有下列情形之一的，守约方有权解除合同：（1）[列举]...解除合同的通知应书面发出，自送达之日起生效","解除情形、解除程序、解除后果","解除情形不明、未约定解除程序、未约定解除后果","是否具备法定和约定解除权"
不可抗力,通用,"因不可抗力导致合同无法履行的，受影响方应及时通知对方，并提供证明。双方应根据不可抗力的影响程度协商解决","不可抗力范围、通知义务、证明义务、法律后果","不可抗力范围过窄或过宽、未约定通知义务、未约定后果","范围是否合理、程序是否明确"
保密条款,通用,"保密信息包括[列举]。接收方应妥善保管保密信息，未经披露方书面同意不得向第三方披露。保密期限为合同终止后[年数]年","保密信息范围、保密义务、保密期限、例外情形","保密信息范围不明确、保密期限不明、未约定例外情形","范围是否明确、期限是否合理"
知识产权条款,技术服务合同,"履行过程中产生的知识产权归[委托方/受托方/双方共有]所有。一方使用另一方知识产权的，应获得授权","归属、授权、侵权责任","知识产权归属不明、未约定授权、未约定侵权责任","归属是否清晰、是否平衡双方利益"
争议解决,通用,"因本合同发生的争议，双方应协商解决；协商不成的，提交[仲裁委员会/人民法院]解决","协商、仲裁/诉讼、管辖机构/法院","同时约定仲裁和诉讼、仲裁委员会约定不明、管辖法院约定无效","争议解决方式是否唯一、是否有效"
