checklist_category,checklist_item,description,applicable_contracts,risk_level
宏观-交易类型,合同类型选择是否正确,根据交易实质选择正确的合同类型,所有合同,重要风险
宏观-交易类型,是否符合物权法定原则,物权类合同需符合物权法定原则,物权类合同,致命风险
宏观-交易类型,是否存在违法交易模式,如挂靠、出租资质等,承包经营合同、资质类合同,致命风险
宏观-交易类型,资产代持是否必要,评估代持必要性及风险,资产代持合同,重要风险
宏观-交易主体,主体是否存在,查验营业执照、存续状态,所有合同,致命风险
宏观-交易主体,主体是否适格,是否具备相应资质、许可,特殊资质合同,致命风险
宏观-交易主体,是否具备履约能力,资金、技术、业绩、信用状况,所有合同,重要风险
宏观-交易主体,信用状况是否良好,查询诉讼、执行、失信记录,所有合同,重要风险
宏观-交易主体,是否存在优先权人,查封、扣押、优先权,物权类合同,重要风险
宏观-交易程序,内部决策程序是否完备,董事会决议、股东会决议、上级审批,公司合同、国企合同,重要风险
宏观-交易程序,是否需要行政审批,谁审批、审批条件,特殊审批合同,致命风险
宏观-交易程序,是否需要登记,登记是生效要件还是对抗要件,物权类合同,重要风险
宏观-交易程序,是否需要备案,备案要求,特定合同,一般风险
宏观-交易程序,是否需要遵守特别程序,招投标、拍卖、评估,特殊合同,致命风险
宏观-交易时序,时序安排是否合理,签约→履行→验收→付款的逻辑顺序,所有合同,一般风险
宏观-交易时序,关键节点是否明确,生效、付款、交付、验收节点,所有合同,重要风险
宏观-交易时序,是否有先决条件,审批、融资、尽调等先决条件,复杂合同,重要风险
宏观-风险分散,是否需要引入第三方,担保方、监管方等,高风险合同,一般风险
宏观-风险分散,是否采用分阶段履约,降低单次风险,长期合同,一般风险
中观-合同类型,有名合同vs无名合同,优先使用有名合同,所有合同,一般风险
中观-合同类型,单一合同vs混合合同,是否需要拆分,混合合同,一般风险
中观-合同体例,结构是否完整,核心条款+风控条款+程序条款,所有合同,重要风险
中观-合同体例,逻辑是否清晰,条款顺序合理、无交叉矛盾,所有合同,一般风险
中观-核心条款,标的是否明确,具体、唯一、可履行,所有合同,致命风险
中观-核心条款,数量是否明确,数量、计量单位,买卖、承揽合同,重要风险
中观-核心条款,质量标准是否明确,国标、行标、样品,买卖、承揽、建设工程合同,重要风险
中观-核心条款,价款是否明确,金额、货币、含税、付款方式、付款条件,所有合同,重要风险
中观-核心条款,履行条款是否明确,时间、地点、方式,所有合同,重要风险
中观-风控条款,违约责任是否明确,违约情形、违约责任、计算方式,所有合同,重要风险
中观-风控条款,解除终止条款是否明确,解除情形、程序、后果,所有合同,重要风险
中观-风控条款,不可抗力条款是否明确,范围、通知义务、法律后果,所有合同,一般风险
中观-风控条款,担保保险条款是否明确,担保方式、范围、期间,有担保合同,重要风险
中观-风控条款,保密条款是否明确,保密范围、期限、违约责任,技术、服务合同,一般风险
中观-风控条款,知识产权条款是否明确,归属、授权、侵权责任,技术、服务合同,重要风险
中观-风控条款,反商业贿赂条款是否明确,禁止商业贿赂、定义、后果,所有合同,一般风险
中观-程序条款,通知与送达条款是否明确,通知方式、地址、生效时间,所有合同,一般风险
中观-程序条款,争议解决条款是否明确,方式、机构/法院、仲裁委员会,所有合同,重要风险
中观-程序条款,法律适用条款是否明确,国内合同、涉外合同,涉外合同,一般风险
中观-程序条款,合同变更条款是否明确,书面形式、变更程序,所有合同,一般风险
中观-程序条款,合同转让条款是否明确,权利转让、义务转移、概括转让,所有合同,一般风险
中观-程序条款,可分割性条款是否明确,条款无效的处理,所有合同,轻微瑕疵
微观-语言表达,用词是否精准,避免模糊词汇,所有合同,一般风险
微观-语言表达,法律术语是否准确,定金vs订金、违约金vs赔偿金等,所有合同,重要风险
微观-语言表达,数字是否准确,金额大小写一致,所有合同,重要风险
微观-语言表达,日期是否准确,格式统一、起算明确,所有合同,重要风险
微观-语言表达,定义是否清晰,关键术语定义,复杂合同,一般风险
微观-逻辑结构,时间是否一致,各条款时间匹配、顺序合理,所有合同,重要风险
微观-逻辑结构,金额是否一致,各条款金额匹配、构成清晰,所有合同,重要风险
微观-逻辑结构,引用是否准确,条款、附件、法律法规引用,所有合同,一般风险
微观-逻辑结构,权利义务是否对应,对应、匹配、平衡,所有合同,重要风险
微观-形式规范,格式是否规范,排版整洁、编号连续,所有合同,轻微瑕疵
微观-形式规范,签署是否规范,签字、盖章、日期、骑缝章,所有合同,重要风险
微观-形式规范,附件是否规范,提及、完整、盖章,有附件合同,一般风险
宏观-交易类型,是否涉及生成式AI服务,是否属于生成式AI监管范围，是否需完成算法备案,AI技术开发合同,致命风险
宏观-交易类型,是否涉及数据跨境传输,是否涉及个人信息或重要数据出境，出境路径是否合法,数据合同、SaaS合同、跨境合同,致命风险
宏观-交易类型,是否涉及数据委托处理,数据处理关系是否清晰（委托/共同/向第三方提供）,数据合同、服务合同,重要风险
宏观-交易主体,境外接收方是否适格,境外接收方是否具备数据保护能力，所在国家/地区数据保护水平,跨境合同、数据合同,重要风险
宏观-交易主体,AI供应商是否完成算法备案,算法备案是否完成，备案编号是否可查,AI技术开发合同,重要风险
宏观-交易程序,是否需完成标准合同备案,个人信息出境标准合同是否签署并完成备案,数据跨境传输标准合同,致命风险
宏观-交易程序,是否需完成安全评估或认证,数据跨境传输是否需通过安全评估或取得认证,数据跨境传输标准合同,重要风险
宏观-风险分散,是否约定数据处理审计权,甲方是否有权对乙方的数据处理活动进行审计,数据处理合同,重要风险
中观-核心条款,SLA指标是否可度量,可用性、响应时间等指标是否有明确定义和计算方法,SaaS服务合同、技术服务合同,重要风险
中观-核心条款,数据处理范围是否限定,数据处理的目的、方式、范围、期限是否明确限定,数据处理合同、服务合同,重要风险
中观-风控条款,生成内容责任是否明确,AI生成内容导致侵权或违法的责任归属是否明确,AI技术开发合同,致命风险
中观-风控条款,数据跨境条款是否完整,是否包含传输必要性、标准合同引用、备案义务、争议解决,数据跨境传输标准合同,重要风险
中观-风控条款,违约金条款是否符合新司法标准,违约金约定是否参考合同编司法解释第64-66条最新裁判规则,所有合同,重要风险
中观-风控条款,数据可迁移性是否约定,合同终止后数据导出和迁移是否有明确方案,SaaS服务合同,重要风险
微观-语言表达,是否使用最新法律术语,是否引用民法典合同编司法解释、新公司法等最新法律依据,所有合同,一般风险
微观-逻辑结构,违约金约定是否符合最新标准,违约金计算方式是否合理、是否有上限、是否引用最新司法解释,所有合同,重要风险
微观-形式规范,AIGC内容是否按要求标识,AI生成内容是否按照暂行办法要求进行标识,AI技术开发合同,重要风险
